V,IC50
-115.789473684211,4.82552204274127
-95.4887218045113,7.92016405019255
-75.3383458646617,21.649259091974
-65.2631578947369,38.7799812655371
-55.187969924812,74.7167067586808
-34.8872180451128,355.330847221974
-14.5864661654135,2541.34303670264
-115.789473684211,7.69264957487913
-95.6390977443609,14.39553627073
-75.3383458646617,41.7112461205652
-65.2631578947369,78.0557791670077
-55.0375939849624,164.130719537513
-35.0375939849624,827.4114356579
-14.5864661654135,8395.57861999513
-115.789473684211,8.27411435657898
-95.6390977443609,15.7109530807925
-75.3383458646617,52.6646239348428
-65.2631578947369,99.9999999999999
-55.0375939849624,219.670709079324
-34.8872180451128,1075.58706217409
-14.5864661654135,6946.59775914893
-115.639097744361,15.7109530807925
-95.3383458646617,26.9388930959017
-75.3383458646617,65.532343074159
-65.1127819548872,120.858856537905
-55.0375939849624,226.167594922286
-34.8872180451128,851.882598268343
-14.7368421052632,4686.9041923142
-115.639097744361,13.5803634288098
-95.3383458646617,32.5580381596754
-75.3383458646617,99.9999999999999
-65.1127819548872,192.668238406499
-55.0375939849624,423.235685478199
-34.7368421052631,1791.28445462201
-14.5864661654135,10446.8976957338
-115.789473684211,25.0457578407926
-95.6390977443609,60.9270466136867
-75.3383458646617,187.133654413943
-65.2631578947369,350.190046143171
-55.0375939849624,715.204732876758
-34.8872180451128,2578.65003377059
-14.5864661654135,13190.2541784848
